desc,link,model,year,capacity,mileage,price
"Oriģināls Gaz 69
Dokumenti kārtībā, pēdējā apskate 16g
Nau sapujis vis dar",www.ss.lv/msg/lv/transport/cars/gaz/another/bnclf.html,Citi,1960,2.0,10 tūkst.,"3,700  €"
"Gaz 2410. Auto braucamā stāvoklī. Rūsa ir virspusēja. 
Atrodas Jelgavā.",www.ss.lv/msg/lv/transport/cars/gaz/24/hxdhf.html,24,1987,2.4,67 tūkst.,"2,700  €"
"Pārdod Gaz 24 nepieciešams remonts, vai rezerves daļām tikai komplektā. Doku",www.ss.lv/msg/lv/transport/cars/gaz/24/bbgnk.html,24,1977,2.4,57 tūkst.,800  €
"Gaz 69
Motors darbojas, ātrumkārba darbojas, sajūgs nedarbojas.",www.ss.lv/msg/lv/transport/cars/gaz/another/clxhe.html,Citi,1972,2.4,100tūkst.,"1,500€"
"Продам Волгу Газ 24-10 

Новый техосмотр 

Исторический статус

Машина",www.ss.lv/msg/lv/transport/cars/gaz/24/hfjhh.html,24,1987,2.4,60 tūkst.,"7,990  €"
"Газ 24, То до 10, 2024г, гаражное хранение.",www.ss.lv/msg/lv/transport/cars/gaz/24/gpxbm.html,24,1979,2.5,17 tūkst.,"7,700  €"
"Pārdod Gaz 2410 , saimnieka dzīves laikā labi kopta un uzturēta. Šobrīd būs",www.ss.lv/msg/lv/transport/cars/gaz/24/eppom.html,24,1986,2.4,6.6tūkst.,"3,500€"
Pilnīgi restaurēts Gaz M 21. Piešķirts vēsturiskais statuss. 2.4 benzīns. Ja,www.ss.lv/msg/lv/transport/cars/gaz/21/edlhe.html,21,1964,2.4,61 tūkst.,"11,000  €"
"Газ 69 сделан для бездорожья, Ofroud, долго стоял , надо приложить руки для",www.ss.lv/msg/lv/transport/cars/gaz/another/efofm.html,Citi,1959,2.4,20 tūkst.,550  €
Pārdod Gaz 21,www.ss.lv/msg/lv/transport/cars/gaz/21/bpgio.html,21,1962,2.4,-,"10,000  €"
"Oriģināls, labi saglabājies eksemplārs. Rūpnīcas oriģinālā krāsa. Virsbūve n",www.ss.lv/msg/lv/transport/cars/gaz/24/coghf.html,24,1977,2.4,99 tūkst.,"13,000  €"
Продаю спортивную Волгу готовую к гонкам. Мощность 180 л. с и 220 Н. м. Есть,www.ss.lv/msg/lv/transport/cars/gaz/24/hebne.html,24,1989,2.4,10 tūkst.,"4,500  €"
Продам ретро автомобиль.,www.ss.lv/msg/lv/transport/cars/gaz/21/hinjx.html,21,1960,2.4,-,"5,000  €"
Atrodas siguldā pardodu labi saglabajušos otras serijas volgu nav sapuvusi v,www.ss.lv/msg/lv/transport/cars/gaz/21/bbfem.html,21,1959,2.4,657 tūkst.,"1,650  €"
Volga glabāta garāžā bijis viens īpašnieks pirkta jauna no salona .iespējama,www.ss.lv/msg/lv/transport/cars/gaz/21/aknhi.html,21,1964,2.4,4tūkst.,"5,050€"
Atrestaurēts auto. 95% hroma detaļu jaunas. Auto atrodas Viesītē. Vairāk inf,www.ss.lv/msg/lv/transport/cars/gaz/24/cmdix.html,24,1973,2.4,115 tūkst.,"3,700  €"
Sīkāka informācija pa telefonu.,www.ss.lv/msg/lv/transport/cars/gaz/24/edpnd.html,24,1986,2.5,-,"7,500  €"
"Gaz 21, 1958 gada, ar padomju laika papīriem. Vairāk kā donors un dokumenti.",www.ss.lv/msg/lv/transport/cars/gaz/21/gdnjb.html,21,1958,2.4,124 tūkst.,"1,000  €"
Pardod labi saglabājušos Gaz22 bundžu ar motoru un parrakstāmiem dokumentiem,www.ss.lv/msg/lv/transport/cars/gaz/22/pfchc.html,22,1963,2.4,100 tūkst.,"3,800  €"
Pārdodu vēsturiskajai autošosejai sagatavotu automašīnu,www.ss.lv/msg/lv/transport/cars/gaz/24/cjgdp.html,24,1990,2.4,100 tūkst.,"5,000  €"
Pardosu Gaz 21. Sagatavota lai braukt uz tehnisko apskati. Originala krasa.,www.ss.lv/msg/lv/transport/cars/gaz/21/hdfnk.html,21,1961,2.4,100 tūkst.,"4,500  €"
"Pārdodas, vai izīrējas konkurēt spējīga sporta volga, sagatavota Dzintara ap",www.ss.lv/msg/lv/transport/cars/gaz/24/ekpik.html,24,1974,2.3,5 tūkst.,"8,000  €"
С документами . Снята с учёта для продажи . Переписка с csdd обязательна. за,www.ss.lv/msg/lv/transport/cars/gaz/21/hxkop.html,21,1960,2.5,-,"3,950  €"
Dokumentu nav . Motors kārba ejoš bet ir iznemts var ari detalas,www.ss.lv/msg/lv/transport/cars/gaz/24/gbepn.html,24,1986,2.0,384 tūkst.,380  €
"Продается Газ – 24 Волга. 

С документами (тех паспорт, номера) и запчастя",www.ss.lv/msg/lv/transport/cars/gaz/24/cfchf.html,24,1978,2.4,68 tūkst.,950  €
Pārdod Gaz 24. Labā tehniskā un vizuālā kārtībā. Iespējama sprātīga maiņa.,www.ss.lv/msg/lv/transport/cars/gaz/24/anjmb.html,24,1980,2.4,-,"7,700  €"
"Машина в идеальном состоянии, авто как новый. 
Возможен разумный обмен, доп",www.ss.lv/msg/lv/transport/cars/gaz/24/dbnxk.html,24,1988,2.4,7 tūkst.,"9,900  €"
